Full Address,LAT_LONG
"360 RIVERSIDE DR. New York, NY 10025","[40.8036014, -73.9688382]"
"360 RIVERSIDE DRIVE New York, NY 10025","[40.8036014, -73.9688382]"
"329 WEST 108 STREET New York, NY 10025","[40.80351719999999, -73.9685168]"
"26 WEST 120 STREET New York, NY 10027","[40.8034986, -73.9456834]"
"514 CATHEDRAL PARKWAY New York, NY 10025","[40.80343570000001, -73.9651931]"
"520 WEST 110TH STREET                     New York, NY 10025","[40.80343, -73.965452]"
"520 W.110TH  STREET New York, NY 10025","[40.80343, -73.965452]"
"301 WEST 108TH New York, NY 10025","[40.8033475, -73.9680691]"
"301 WEST 108TH STREET New York, NY 10025","[40.8033475, -73.9680691]"
"504 WEST 110TH New York, NY 10025","[40.8032704, -73.9649938]"
"237 WEST 109 STREET New York, NY 10025","[40.8032543, -73.9658536]"
"237 WEST 109TH ST New York, NY 10025","[40.8032543, -73.9658536]"
"510 CATHEDRAL PARKWAY                     New York, NY 10025","[40.8032237, -73.9644218]"
"330 WEST 108 STREET                       New York, NY 10025","[40.8032206, -73.9688038]"
"353 RIVERSIDE DR New York, NY 10025","[40.8032164, -73.9691137]"
"328 WEST 108TH STREET                     New York, NY 10025","[40.803168, -73.968733]"
"324 WEST 108 STREET                       New York, NY 10025","[40.8031526, -73.9685971]"
"300 WEST 108TH STREET New York, NY 10025","[40.8029933, -73.96808659999999]"
"300 WEST 108 ST New York, NY 10025","[40.8029933, -73.96808659999999]"
"242 WEST 109 STREET                       New York, NY 10025","[40.8029595, -73.9662209]"
"255 WEST 108TH STREET New York, NY 10025","[40.8028416, -73.9670229]"
"241 WEST 108TH STREET New York, NY 10025","[40.8028213, -73.9667721]"
"235 WEST 108TH STREET New York, NY 10025","[40.8027127, -73.9665194]"
"235 W 108 STREET New York, NY 10025","[40.8027127, -73.9665194]"
"345 RIVERSIDE DRIVE New York, NY 10025","[40.802633, -73.96941699999999]"
"2790 BROADWAY New York, NY 10025","[40.8025988, -73.9673459]"
"312 WEST 107TH STREET New York, NY 10025","[40.802482, -73.96903329999999]"
"200 WEST 109 STREET                       New York, NY 10025","[40.8024501, -73.9647387]"
"340 RIVERSIDE DRIVE New York, NY 10025","[40.8023984, -73.9697336]"
"319 WEST 106 STREET New York, NY 10025","[40.8022741, -73.96946960000001]"
"245 W. 107TH STREET New York, NY 10025","[40.80222550000001, -73.967315]"
"245 WEST 107 STREET New York, NY 10025","[40.80222550000001, -73.967315]"
"245 WEST 107TH STREET New York, NY 10025","[40.80222550000001, -73.967315]"
