,Full Address,LAT_LONG
535,"168 SUFFOLK STREET                        New York, NY 10002",
536,"14 CLINTON STREET New York, NY 10002",
537,"151 LUDLOW STREET New York, NY 10002",
538,"327 EAST 3RD   STREET New York, NY 10009",
539,"331 EAST HOUSTON STREET New York, NY 10002",
540,"46 RIVINGTON STREET New York, NY 10002",
541,"157 LUDLOW STREET New York, NY 10002",
542,"170 NORFOLK New York, NY 10002",
543,"170 NORFOLK STREET New York, NY 10002",
544,"199 BOWERY New York, NY 10002",
545,"15 RIVINGTON                              New York, NY 10002",
546,"114 STANTON STREET                        New York, NY 10002",
547,"200 LAFAYETTE STREET                      New York, NY 10012",
548,"310 EAST HOUSTON STREET                   New York, NY 10002",
549,"428 BROOME STREET New York, NY 10012",
550,"27 AVENUE C New York, NY 10009",
551,"27 AVENUE C                               New York, NY 10009",
