,Full Address,LatLong
499,"1355 FIRST AVENUE                         New York, NY 10021",
500,"1724 SECOND AVENUE                        New York, NY 10128",
501,"1643 FIRST AVENUE                         New York, NY 10028",
502,"1140 FIRST AVENUE                         New York, NY 10065",
503,"440 E 62 New York, NY 10065",
504,"440 EAST 62 STREET New York, NY 10065",
505,"1140 2 AVENUE                             New York, NY 10065",
506,"403 EAST 62ND STREET New York, NY 10065",
507,"350 EAST 62ND ST                          New York, NY 10065",
508,"350 EAST 62ND STREET                      New York, NY 10065",
509,"1175 YORK AVENUE New York, NY 10065",
510,"1175 YORK  AVENUE New York, NY 10065",
511,"425 E. 63RD STREET New York, NY 10065",
512,"1135 FIRST AVENUE                         New York, NY 10065",
513,"353 EAST 62ND   STREET                    New York, NY 10065",
514,"349 EAST 62ND STREET                      New York, NY 10065",
515,"405 EAST 63RD STREET New York, NY 10065",
516,"420 EAST 64 STREET New York, NY 10065",
517,"420 EAST 64RD STREET New York, NY 10065",
518,"420 EAST 64TH ST New York, NY 10065",
519,"420 EAST 64TH STREET New York, NY 10065",
520,"347 E 62ND STREET New York, NY 10065",
521,"238 EAST 61ST STREET                      New York, NY 10065",
522,"209 EAST 60TH   STREET                    New York, NY 10065",
523,"337 EAST 62ND STREET                      New York, NY 10065",
524,"207 EAST 60TH   STREET                    New York, NY 10065",
525,"205 EAST 60TH   STREET                    New York, NY 10065",
526,"226 EAST 61ST STREET                      New York, NY 10065",
527,"300 EAST 62ND STREET New York, NY 10065",
528,"300 EAST 62ND   STREET                    New York, NY 10065",
529,"301 EAST 62D STREET New York, NY 10065",
530,"1010 3 AVENUE New York, NY 10065",
