,LAT,LONG,YEAR,SALE PRICE
417,40.7724026,-73.9592035,2017,1445000
418,40.772405,-73.95750090000001,2017,1599000
419,40.7724196,-73.9483009,2017,771000
420,40.772426,-73.95671999999999,2017,853000
421,40.77246235,-73.9623417,2017,6850000
422,40.772469,-73.961251,2017,8135000
423,40.772478,-73.966459,2017,2300000
424,40.772478,-73.966459,2018,3950000
425,40.7725454,-73.96038933,2017,2300000
426,40.772559,-73.961481,2017,2625000
427,40.772565,-73.960973,2017,560000
428,40.772565,-73.960973,2018,507500
429,40.772575399999994,-73.95521490000002,2017,8461500
430,40.772575399999994,-73.95521490000002,2018,1332619
431,40.7726027,-73.9610816,2017,706500
432,40.772614000000004,-73.9539377,2017,2040000
433,40.772614000000004,-73.9539377,2018,490000
434,40.772615,-73.955189,2017,700000
435,40.772661,-73.94680600000001,2017,8279500
436,40.772663,-73.952229,2017,2775000
437,40.7726839,-73.9521239,2017,2625000
438,40.7726885,-73.95186434,2017,3600000
439,40.7727054,-73.9665194,2017,4750000
440,40.772737,-73.96661999999999,2017,3425000
441,40.772748,-73.96141300000001,2017,950000
442,40.772748,-73.96141300000001,2018,2130000
443,40.772753200000004,-73.9532061,2017,15362250
444,40.772768,-73.946111,2017,4280000
445,40.7727733,-73.9621113,2017,5675000
446,40.7727733,-73.9621113,2018,1325000
447,40.772796,-73.95213299999999,2017,2175000
448,40.77280579999999,-73.9531348,2018,640000
449,40.77283,-73.951473,2017,2025000
450,40.772837,-73.947519,2017,1967680
451,40.772837,-73.947519,2018,1040000
452,40.77287020000001,-73.95753590000001,2017,1545000
453,40.7728706,-73.95953990000001,2017,4090000
454,40.772875799999994,-73.95753149999999,2017,3152000
455,40.772909999999996,-73.948255,2017,740200
456,40.772909999999996,-73.948255,2018,392000
457,40.772926,-73.954489,2017,7150000
458,40.772928,-73.95790699999999,2017,892500
459,40.7729426,-73.9513662,2017,478500
460,40.7729475,-73.9535703,2017,2865000
461,40.772949,-73.9615832,2017,6221000
462,40.7729756,-73.9578396,2017,2875000
463,40.772981,-73.958543,2017,7073000
464,40.77298425,-73.96552255,2017,1550000
465,40.7729898,-73.9567159,2017,490000
466,40.773021,-73.960608,2017,6714900
467,40.773022499999996,-73.9609311,2017,1605000
468,40.77302375,-73.95597335,2017,4000000
469,40.773046,-73.95259200000001,2018,635000
470,40.7730858,-73.9528703,2017,8332000
471,40.7730858,-73.9528703,2018,440000
472,40.773119,-73.948181,2017,675000
473,40.773133,-73.944848,2018,3600000
474,40.7731393,-73.9462962,2017,1997000
475,40.7731432,-73.9648387,2017,1200000
476,40.7731496,-73.95919549999999,2017,3016721
477,40.77318029999999,-73.9660602,2017,4100000
478,40.773263,-73.958658,2018,2275000
479,40.773264000000005,-73.96624200000001,2017,4000000
480,40.77327415,-73.95661855,2017,307500
481,40.77328,-73.956777,2017,970000
482,40.7732941,-73.9532948,2017,4783999
483,40.7732956,-73.9543759,2017,1625000
484,40.7732956,-73.9543759,2018,1670000
485,40.7732989,-73.9483124,2017,1563950
486,40.773317999999996,-73.961902,2017,2625000
487,40.773317999999996,-73.961902,2018,1600000
488,40.7733199,-73.9576802,2017,735000
489,40.77333065,-73.95435808,2017,17213513
490,40.77333065,-73.95435808,2018,3017600
491,40.773334000000006,-73.95964599999999,2017,7150000
492,40.773334000000006,-73.95964599999999,2018,1750000
493,40.77333505,-73.95862799,2017,1700000
494,40.773357,-73.95620799999999,2017,6232500
495,40.773362,-73.96287,2017,3698000
496,40.773365000000005,-73.95304399999999,2017,401800
497,40.773385,-73.94686999999999,2018,390000
498,40.7734237,-73.95683309999998,2017,2481433
499,40.7734237,-73.95683309999998,2018,1195000
500,40.7734262,-73.9576391,2017,750000
501,40.7734262,-73.9576391,2018,2696011
502,40.7734321,-73.9627427,2017,1750000
