,Unnamed: 0,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,LAT,LONG,LAT_LONG
12471,12475,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1445,7, ,D4,"315 EAST 70TH STREET, 2C", ,10021,0,0,0, -  , -  ,1960,2,D4,425000,2017-01-12 00:00:00,40.767319,-73.9586,"(40.767319, -73.9586)"
12472,12476,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1445,7, ,D4,"315 EAST 70TH STREET, 9F", ,10021,0,0,0, -  , -  ,1960,2,D4,1245000,2017-01-27 00:00:00,40.767319,-73.9586,"(40.767319, -73.9586)"
12487,12491,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1446,23, ,D4,"360 EAST 72ND STREET, C2803", ,10021,0,0,0, -  , -  ,1963,2,D4,1650000,2017-01-06 00:00:00,40.76778,-73.956344,"(40.76778, -73.956344)"
12488,12492,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1446,23, ,D4,"360 EAST 72ND STREET, B1005", ,10021,0,0,0, -  , -  ,1963,2,D4,962000,2017-01-13 00:00:00,40.76778,-73.956344,"(40.76778, -73.956344)"
12489,12493,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1446,23, ,D4,"360 EAST 72ND STREET, B208", ,10021,0,0,0, -  , -  ,1963,2,D4, -  ,2017-02-14 00:00:00,40.76778,-73.956344,"(40.76778, -73.956344)"
12493,12497,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1446,38, ,D4,"340 EAST 72ND STREET, 10F", ,10021,0,0,0, -  , -  ,1930,2,D4, -  ,2017-01-23 00:00:00,40.768152,-73.95722,"(40.768152, -73.95722)"
12496,12500,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1446,42, ,D4,"320 EAST 72ND STREET, 1617B", ,10021,0,0,0, -  , -  ,1930,2,D4, -  ,2017-01-30 00:00:00,40.768326,-73.957635,"(40.768326, -73.957635)"
12499,12503,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1447,9, ,D4,"315 EAST 72ND STREET, 16H", ,10021,0,0,0, -  , -  ,1958,2,D4,2150000,2017-01-05 00:00:00,40.768534,-73.957318,"(40.768534, -73.957318)"
12500,12504,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1447,9, ,D4,"315 EAST 72 STREET, 1A", ,10021,0,0,0, -  , -  ,1958,2,D4,535000,2017-01-24 00:00:00,40.768534,-73.957318,"(40.768534, -73.957318)"
12501,12505,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1447,9, ,D4,"315 EAST 72ND STREET, 15H/J", ,10021,0,0,0, -  , -  ,1958,2,D4,3825000,2017-01-18 00:00:00,40.768534,-73.957318,"(40.768534, -73.957318)"
12509,12513,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1447,19, ,D4,"353 EAST 72ND   STREET, 9D", ,10021,0,0,0, -  , -  ,1975,2,D4,675000,2017-02-06 00:00:00,40.768259,-73.956497,"(40.768259, -73.956497)"
12510,12514,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1447,19, ,D4,"353 EAST 72ND STREET, 23C", ,10021,0,0,0, -  , -  ,1975,2,D4,605000,2017-02-22 00:00:00,40.768259,-73.956497,"(40.768259, -73.956497)"
12533,12537,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1450,1, ,D4,"301 EAST 75TH STREET, 11H", ,10021,0,0,0, -  , -  ,1966,2,D4,725000,2017-01-18 00:00:00,40.770715,-73.956579,"(40.770715, -73.956579)"
12544,12548,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1450,23, ,D4,"370 EAST 76TH STREET, A406", ,10021,0,0,0, -  , -  ,1966,2,D4,544763,2017-01-03 00:00:00,40.770664,-73.955019,"(40.770664, -73.955019)"
