"","sale_id","year","nbhd","block","lot","address","zip","sale_date","price","long","lat"
"1498",48834,"2016","UPPER EAST SIDE (59-79)","1469","1003","401 EAST 74TH STREET, 6S","10021","05/25/2016",460000,-73.9546957524604,40.7689850309863
"1499",48836,"2016","UPPER EAST SIDE (59-79)","1469","1003","401 EAST 74TH STREET, 16F","10021","09/27/2016",1040000,-73.9546957524604,40.7689850309863
"1500",48837,"2016","UPPER EAST SIDE (59-79)","1469","1003","401 EAST 74TH STREET, 10R","10021","10/05/2016",900000,-73.9546957524604,40.7689850309863
"1501",48838,"2016","UPPER EAST SIDE (59-79)","1469","1003","401 EAST 74TH STREET, 2C","10021","11/03/2016",1200000,-73.9546957524604,40.7689850309863
"1502",48839,"2016","UPPER EAST SIDE (59-79)","1473","1504","399 EAST 78TH STREET, 5F","10075","05/17/2016",465000,-73.9528455389778,40.7715231730492
"1503",48984,"2016","UPPER EAST SIDE (79-96)","1492","65","10 EAST 81ST STREET, 5","10028","12/20/2016",1725000,-73.9621889629308,40.7780563494939
"1504",48985,"2016","UPPER EAST SIDE (79-96)","1494","148","48 EAST 83RD STREET, 1F","10028","11/25/2016",160000,-73.9598163459049,40.7787197727733
"1505",48989,"2016","UPPER EAST SIDE (79-96)","1511","48","150 EAST 83RD STREET, 5B","10028","01/08/2016",425000,-73.9565495478732,40.7773407294996
"1506",48990,"2016","UPPER EAST SIDE (79-96)","1511","49","148 EAST 83RD   STREET, 5E","10028","05/05/2016",865000,-73.956585643539,40.7773572115261
"1507",48992,"2016","UPPER EAST SIDE (79-96)","1511","59","128 EAST 83RD STREET, 1B","10028","03/11/2016",980000,-73.9574772317866,40.777733572934
"1508",49002,"2016","UPPER EAST SIDE (79-96)","1527","40","218 EAST 82ND   STREET, 4FW","10028","07/28/2016",417500,-73.9552470290745,40.7759678623777
"1509",49003,"2016","UPPER EAST SIDE (79-96)","1527","40","218 EAST 82ND STREET, 5FE","10028","08/19/2016",406000,-73.9552470290745,40.7759678623777
"1510",49004,"2015","UPPER EAST SIDE (59-79)","1395","44","162 EAST 61ST STREET","10065","09/10/2015",4655081,-73.966663,40.763214
"1511",49004,"2016","UPPER EAST SIDE (79-96)","1529","39","214 EAST 84TH STREET, 3A","10028","03/22/2016",360000,-73.9543904376581,40.7772630425036
"1512",49005,"2016","UPPER EAST SIDE (79-96)","1529","39","210 EAST 84TH STREET, 3B","10028","10/05/2016",400000,-73.9544554122108,40.7772877708356
"1513",49018,"2016","UPPER EAST SIDE (79-96)","1545","39","320 EAST 83RD STREET, 1C","10028","03/24/2016",595000,-73.9524779699929,40.7756236614532
"1514",49019,"2016","UPPER EAST SIDE (79-96)","1545","39","320 EAST 83RD STREET, 4DE","10028","04/28/2016",1439900,-73.9524779699929,40.7756236614532
"1515",49026,"2016","UPPER EAST SIDE (79-96)","1545","39","320 EAST 83RD   STREET, 4B","10028","10/21/2016",540000,-73.9524779699929,40.7756236614532
"1516",49027,"2016","UPPER EAST SIDE (79-96)","1546","19","331 EAST 83RD STREET, 3","10028","07/08/2016",2750000,-73.9523010925068,40.7755686936163
"1517",49028,"2016","UPPER EAST SIDE (79-96)","1548","14","335 EAST 85TH STREET, 3A","10028","09/27/2016",260000,-73.9513036751133,40.7768088977713
"1518",49033,"2016","UPPER EAST SIDE (79-96)","1562","37","418 EAST 83RD   STREET, 5A","10028","07/20/2016",340000,-73.9501787743714,40.7746565425357
"1519",49034,"2016","UPPER EAST SIDE (79-96)","1563","31","448 EAST 84TH STREET, 3D","10028","01/14/2016",339000,-73.949232496274,40.7750870533849
"1520",49035,"2016","UPPER EAST SIDE (79-96)","1563","31","448 EAST 84TH STREET, 1D","10028","06/08/2016",345000,-73.949232496274,40.7750870533849
"1521",49036,"2016","UPPER EAST SIDE (79-96)","1564","35","430 EAST 85TH STREET, 5D","10028","08/15/2016",310000,-73.9488384416164,40.7757483609236
"1522",49037,"2016","UPPER EAST SIDE (79-96)","1564","35","430 EAST 85TH STREET, 1A","10028","08/08/2016",297500,-73.9488384416164,40.7757483609236
"1523",49038,"2016","UPPER EAST SIDE (79-96)","1564","35","430 EAST 85TH STREET, 1B","10028","08/18/2016",275000,-73.9488384416164,40.7757483609236
"1524",49039,"2016","UPPER EAST SIDE (79-96)","1564","36","428 EAST 85TH STREET, 1B","10028","10/06/2016",295000,-73.9488673176162,40.7757593526918
"1525",49043,"2016","UPPER EAST SIDE (79-96)","1578","12","519 EAST 81ST STREET, 4C","10028","02/10/2016",375000,-73.9488157120351,40.7724381963002
"1526",49044,"2016","UPPER EAST SIDE (79-96)","1578","12","519 EAST 81ST ST, 4A","10028","11/10/2016",300000,-73.9488157120351,40.7724381963002
"1527",49045,"2016","UPPER EAST SIDE (79-96)","1578","42","516 EAST 82ND STREET, 1W","10028","04/19/2016",354373,-73.948392806902,40.7730720423662
"1528",49046,"2016","UPPER EAST SIDE (79-96)","1578","44","512 EAST 82ND STREET, 1A","10028","01/28/2016",230650,-73.9484613834241,40.7730995204485
"1529",49047,"2016","UPPER EAST SIDE (79-96)","1579","8","511 EAST 82ND STREET, 4FERE","10028","07/21/2016",1345000,-73.9484830225284,40.7731297222524
"1530",49048,"2015","UPPER EAST SIDE (59-79)","1426","25","260 EAST 72ND STREET","10021","06/19/2015",2567340,-73.959309,40.769195
"1531",49048,"2016","UPPER EAST SIDE (79-96)","1579","8","511 EAST 82ND   STREET, 4RW","10028","10/17/2016",755500,-73.9484830225284,40.7731297222524
"1532",49049,"2016","UPPER EAST SIDE (79-96)","1579","44","512 EAST 83RD STREET, 3C","10028","09/29/2016",394674,-73.9480023641307,40.7737360936014
"1533",49050,"2016","UPPER EAST SIDE (79-96)","1579","44","512 EAST 83RD STREET, 4A","10028","11/09/2016",337000,-73.9480023641307,40.7737360936014
"1534",49051,"2016","UPPER EAST SIDE (79-96)","1580","8","509 EAST 83RD STREET, 2W","10028","05/26/2016",410000,-73.9480564865455,40.7737800338294
"1535",49052,"2016","UPPER EAST SIDE (79-96)","1580","14","521 EAST 83RD STREET, 5E","10028","01/04/2016",379000,-73.9478543681396,40.7736948556418
"1536",49053,"2016","UPPER EAST SIDE (79-96)","1580","19","531 EAST 83RD STREET, 1A","10028","08/23/2016",375000,-73.9476883438481,40.7736234171837
"1537",49054,"2016","UPPER EAST SIDE (79-96)","1581","12","531 EAST 84TH STREET, 1C","10028","03/09/2016",290000,-73.9472220947832,40.7742572391622
"1538",49055,"2016","UPPER EAST SIDE (79-96)","1581","12","533 EAST 84TH STREET, 4B","10028","05/19/2016",410000,-73.9471896114107,40.7742435005872
"1539",49056,"2016","UPPER EAST SIDE (79-96)","1581","12","527 EAST 84TH STREET, 1A","10028","06/07/2016",282000,-73.9472906698702,40.7742874626736
"1540",49068,"2015","UPPER EAST SIDE (59-79)","1390","33","59 EAST 75TH ST, 2B","10021","12/30/2015",875000,-73.963311,40.773448
"1541",49069,"2015","UPPER EAST SIDE (59-79)","1390","66","6 EAST 76TH STREET, 4R","10021","09/29/2015",690000,-73.964498,40.774758
"1542",49070,"2015","UPPER EAST SIDE (59-79)","1390","66","6 EAST 76TH STREET, 3R","10021","12/01/2015",575000,-73.964498,40.774758
"1543",49070,"2016","UPPER EAST SIDE (79-96)","1491","1","980 FIFTH AVE, 4B","10075","09/27/2016",4000000,-73.9632113537919,40.7770274041469
"1544",49071,"2015","UPPER EAST SIDE (59-79)","1408","30","175 EAST 73RD STREET, 1F","10021","10/29/2015",850000,-73.960807,40.770736
"1545",49072,"2015","UPPER EAST SIDE (59-79)","1408","30","175 EAST 73RD STREET, 2F","10021","10/29/2015",700000,-73.960807,40.770736
"1546",49073,"2015","UPPER EAST SIDE (59-79)","1408","30","175 EAST 73RD STREET, 1G","10021","10/29/2015",850000,-73.960807,40.770736
"1547",49074,"2015","UPPER EAST SIDE (59-79)","1408","30","175 EAST 73RD STREET, 1R","10021","10/29/2015",850000,-73.960807,40.770736
"1548",49075,"2015","UPPER EAST SIDE (59-79)","1408","30","175 EAST 73RD STREET, 2R","10021","10/29/2015",700000,-73.960807,40.770736
"1549",49075,"2016","UPPER EAST SIDE (79-96)","1491","28","63 EAST 79TH STREET, 5S","10075","12/08/2016",1600000,-73.9614318887669,40.7760387169062
"1550",49076,"2015","UPPER EAST SIDE (59-79)","1412","45","166 EAST 78TH STREET, 3A","10075","07/08/2015",650000,-73.958704,40.773976
"1551",49077,"2015","UPPER EAST SIDE (59-79)","1432","36","236 EAST 78TH STREET, 3A","10075","10/26/2015",325000,-73.956888,40.773207
"1552",49078,"2015","UPPER EAST SIDE (59-79)","1432","36","236 EAST 78TH STREET, 3C","10075","10/27/2015",335000,-73.956888,40.773207
"1553",49079,"2015","UPPER EAST SIDE (59-79)","1432","36","236 EAST 78TH STREET, 6D","10075","10/29/2015",317000,-73.956888,40.773207
"1554",49079,"2016","UPPER EAST SIDE (79-96)","1493","33","940 PARK AVENUE, 4B","10028","12/08/2016",1750000,-73.9598497625061,40.7771937108547
"1555",49080,"2015","UPPER EAST SIDE (59-79)","1433","12","223 EAST 78TH STREET, 2C","10075","03/16/2015",305000,-73.957101,40.773317
"1556",49081,"2015","UPPER EAST SIDE (59-79)","1433","12","223 EAST 78TH STREET, 2A","10075","08/06/2015",301000,-73.957101,40.773317
"1557",49082,"2015","UPPER EAST SIDE (59-79)","1447","36","328 EAST 73RD STREET, 3B","10021","01/22/2015",360000,-73.957042,40.769126
"1558",49083,"2015","UPPER EAST SIDE (59-79)","1447","46","308 EAST 73RD STREET, 3C","10021","05/08/2015",355000,-73.957382,40.769269
"1559",49084,"2015","UPPER EAST SIDE (59-79)","1448","12","317 EAST 73RD STREET, 2FW","10021","06/22/2015",800000,-73.957234,40.769228
"1560",49085,"2015","UPPER EAST SIDE (59-79)","1448","12","317 EAST 73RD STREET, 1FE","10021","10/16/2015",345000,-73.957234,40.769228
"1561",49086,"2015","UPPER EAST SIDE (59-79)","1448","13","319 EAST 73RD STREET, 4A","10021","03/23/2015",305000,-73.957201,40.769211
"1562",49086,"2016","UPPER EAST SIDE (79-96)","1494","41","66 EAST 83RD STREET, 3C","10028","08/04/2016",1050000,-73.959509513564,40.7785906627606
"1563",49087,"2015","UPPER EAST SIDE (59-79)","1448","13","319 EAST 73RD STREET, 4D","10021","07/31/2015",450000,-73.957201,40.769211
"1564",49087,"2016","UPPER EAST SIDE (79-96)","1494","59","8 EAST 83RD STREET, SVT3","10028","02/17/2016",260000,-73.9613938417283,40.7793872829514
"1565",49088,"2015","UPPER EAST SIDE (59-79)","1448","41","328 EAST 74TH STREET, LB","10021","09/01/2015",272500,-73.95658,40.769763
"1566",49088,"2016","UPPER EAST SIDE (79-96)","1494","59","8 EAST 83RD STREET, 1/2G","10028","03/22/2016",1970000,-73.9613938417283,40.7793872829514
"1567",49089,"2015","UPPER EAST SIDE (59-79)","1451","37","336 EAST 77TH STREET, 1","10075","08/14/2015",965000,-73.955059,40.771609
"1568",49089,"2016","UPPER EAST SIDE (79-96)","1494","59","8 EAST 83RD STREET, 5A","10028","05/18/2016",1900000,-73.9613938417283,40.7793872829514
